id,label,type,next,desc,
1,Change Control,process,2,"This is a standard process where all changes go through a formal approval step before they are deployed, which ensures that only authorized changes make it to production.",
2,Approval,process,3,"Gate that approves changes before production release",
3,Code Change,devops,4,"Defines infra and config changes using Bicep and Ansible with DEV/PROD parameters so the same code is used for both environments",
4,Code Testing,devops,5,"After defining the changes, they go through a testing phase. This is crucial because it ensures that any code deployed will work correctly in the target environment. Depending on the setup these tests can be included in the CI\CD pipeline or run separately.",
5,GitHub / AzureDevops,devops,6;7,"GitHub and Azure DevOps are version control platforms that store Bicep and Ansible code and manage CI/CD workflows for building infrastructure and configuring resources. They facilitate collaboration, automate the deployment process, and ensure consistency across different environments (e.g., DEV/PROD) by integrating infrastructure as code (IaC) for Bicep and configuration management for Ansible.",
6,Bicep Build,azure cloud,8;9,"CI\CD workflow for Bicep Infrastructure as Code (IaC) for Azure. For a multi cloud environment, this workflow can be extended to include Terraform for other cloud providers, ensuring consistent infrastructure deployment across different platforms. ",
7,Ansible Build,azure cloud,8;9,"CI\CD workflow that runs Ansible for Configuration Management",
8,Azure Cloud Resources,azure cloud,12,"Azure-hosted infrastructure resources",
9,Azure Arc,azure cloud,10,"Extends Azure management to hybrid and on-prem environments",
10,Azure HCI,on prem,11,"Hyperconverged Infrastructure (HCI) combines compute, storage, and networking into a single, software-defined platform, simplifying management and scalability. It provides cost-effective, high-availability solutions for data centers, cloud, and edge computing environments.",
11,OnPrem Resources,on prem,12,"On-site infrastructure systems",
12,Azure Monitor/Alert,observability,13,"Collects and analyzes logs,metrics and triggers alerts",
13,Azure Sentinel,observability,14,"Cloud SIEM for threat detection and security monitoring",
14,Azure Policy,observability,15,"Enforces compliance rules across Azure resources",
15,Defender for Cloud,observability,16;17;22,"Provides security posture management and vulnerability detection",
16,Success,endprocess,21,"Indicates successful deployment and triggers success workflow."
17,Failure,endprocess,20,"Triggers rollback and failure handling workflow",
20,Investigation / Fix / Deploy,endprocess,3,"Failure triggers a rollback and investigation to diagnose issues. If a fix is required, it will be redeployed.",
21,Mark Change as completed,endprocess,1,"Closes the change request",
22,Grafana Dashboard,observability,,"Visualizes metrics and monitoring data, providing a graphical representation of system health and performance over time. This can include a deployment dashboard that shows the status of ongoing deployments, success rates, and any issues encountered during the deployment process.    ",

